THREAD 445894656: 3 moves possible after move #6; creating threads
THREAD 446967808: 7 moves possible after move #6; creating threads
THREAD 447504384: 3 moves possible after move #6; creating threads
THREAD 448040960: 3 moves possible after move #5; creating threads
THREAD 408334336: 3 moves possible after move #6; creating threads
THREAD 450187264: 3 moves possible after move #6; creating threads
THREAD 450723840: 5 moves possible after move #6; creating threads
THREAD 449650688: 3 moves possible after move #6; creating threads
THREAD 451260416: 7 moves possible after move #6; creating threads
THREAD 451796992: 7 moves possible after move #6; creating threads
THREAD 452333568: 7 moves possible after move #6; creating threads
THREAD 452870144: 7 moves possible after move #6; creating threads
THREAD 409407488: 5 moves possible after move #6; creating threads
THREAD 454479872: 3 moves possible after move #6; creating threads
THREAD 409944064: 2 moves possible after move #6; creating threads
THREAD 410480640: 4 moves possible after move #6; creating threads
THREAD 411553792: 3 moves possible after move #6; creating threads
THREAD 455016448: 7 moves possible after move #6; creating threads
THREAD 455553024: 2 moves possible after move #6; creating threads
THREAD 456089600: 5 moves possible after move #6; creating threads
THREAD 456626176: 5 moves possible after move #6; creating threads
THREAD 412090368: 6 moves possible after move #6; creating threads
THREAD 367554560: 7 moves possible after move #6; creating threads
THREAD 370774016: 5 moves possible after move #7; creating threads
THREAD 416382976: 7 moves possible after move #6; creating threads
THREAD 417992704: 4 moves possible after move #6; creating threads
THREAD 419602432: 7 moves possible after move #6; creating threads
THREAD 420139008: 3 moves possible after move #6; creating threads
THREAD 423358464: 7 moves possible after move #6; creating threads
THREAD 427651072: 4 moves possible after move #6; creating threads
THREAD 379895808: 4 moves possible after move #6; creating threads
THREAD 472186880: 3 moves possible after move #6; creating threads
THREAD 457699328: 7 moves possible after move #6; creating threads
THREAD 459309056: 7 moves possible after move #6; creating threads
THREAD 458772480: 3 moves possible after move #5; creating threads
THREAD 459845632: 3 moves possible after move #6; creating threads
THREAD 463065088: 3 moves possible after move #6; creating threads
THREAD 461991936: 5 moves possible after move #6; creating threads
THREAD 429260800: 7 moves possible after move #5; creating threads
THREAD 462528512: 6 moves possible after move #6; creating threads
THREAD 463601664: 3 moves possible after move #6; creating threads
THREAD 464138240: 3 moves possible after move #6; creating threads
THREAD 464674816: 7 moves possible after move #6; creating threads
THREAD 465211392: 7 moves possible after move #6; creating threads
THREAD 465747968: 4 moves possible after move #6; creating threads
THREAD 466821120: 6 moves possible after move #6; creating threads
THREAD 467357696: 7 moves possible after move #6; creating threads
THREAD 466284544: 3 moves possible after move #6; creating threads
THREAD 467894272: 5 moves possible after move #6; creating threads
THREAD 468967424: 3 moves possible after move #6; creating threads
THREAD 469504000: 7 moves possible after move #6; creating threads
THREAD 468430848: 5 moves possible after move #7; creating threads
THREAD 473796608: 7 moves possible after move #5; creating threads
THREAD 474869760: 6 moves possible after move #6; creating threads
THREAD 473260032: 5 moves possible after move #5; creating threads
THREAD 475406336: 6 moves possible after move #5; creating threads
THREAD 474333184: 3 moves possible after move #6; creating threads
THREAD 475942912: 3 moves possible after move #5; creating threads
THREAD 477552640: 7 moves possible after move #6; creating threads
THREAD 477016064: 7 moves possible after move #5; creating threads
THREAD 478089216: 3 moves possible after move #5; creating threads
THREAD 478625792: 5 moves possible after move #5; creating threads
THREAD 479162368: 4 moves possible after move #5; creating threads
THREAD 476479488: 5 moves possible after move #8; creating threads
THREAD 479698944: 3 moves possible after move #7; creating threads
THREAD 480235520: 2 moves possible after move #6; creating threads
THREAD 480772096: 6 moves possible after move #5; creating threads
THREAD 481845248: 6 moves possible after move #6; creating threads
THREAD 482381824: 3 moves possible after move #5; creating threads
